wmo_id;name;lat;lon;alt;country_alpha2;name_rus;name_eng;additional_name
22018;Ура-Губа;69.28;32.8;16;RU;Ура-Губа;Ura-Guba;Ура-Губа
22019;Полярное;69.2;33.48;13;RU;Полярное;Polyarnoe;Североморск
22028;Териберка;69.2;35.1;33;RU;Териберка;Teriberka;Териберка
22095;Колгуев Северный;69.53;49.08;24;RU;Колгуев Северный;Kolguev severny;Колгуев Остров
22100;Верховье р.Лотты;68.54;28.92;120;RU;Верховье р.Лотты;Verkhovie r.Lotty;Верховье Лотты
22101;Янискоски;68.97;28.78;98;RU;Янискоски;Yaniscosky;Виртаниеми
22105;Ниванкюль;68.35;30.71;98;RU;Ниванкюль;Nivankyul;Ниванкюль
22106;Падун;68.6;318;61;RU;Падун;Padun;Падун
22113;Мурманск;68.95;33.04;57;RU;Мурманск;Murmansk;Мурманск город
22114;Мурмаши;68.6;32.8;78;RU;Мурмаши;Murmashy;Лопарская
22115;Мурманск аэропорт;68.8;32.7;81;RU;Мурманск аэропорт;;Мурманск аэропорт
22119;Пулозеро АМС;68.35;33.3;142;RU;Пулозеро АМС;Pulozero AMS;Пулозеро
22123;Туманная;68.88;35.63;114;RU;Туманная;Tumannaya;Голицыно
22127;Ловозеро;68;35.03;159;RU;Ловозеро;Lovozero;Ловозеро
22133;О.Харлов;68.81;37.33;69;RU;О.Харлов;O.Kharlov;Харловка
22140;Святой Нос;68.15;39.75;12;RU;Святой Нос;Svyatoy Nos;Гремиха Бухта
22144;Губа Дроздовка;68.33;38.41;13;RU;Губа Дроздовка;Guba Drozdovka;Черный Мыс
22165;Канин Нос;68.65;43.28;47;RU;Канин Нос;Kanin nos;Канин Нос
22193;Бугрино;68.78;49.3;8;RU;Бугрино;Bugrino;Бугрино
22204;Ковдор;67.56;30.45;246;RU;Ковдор;Kovdor;Ковдор
22212;Мончегорск;67.94;32.92;140;RU;Мончегорск;Monchegorsk;Мончегорск
22213;Апатиты;67.55;33.36;132;RU;Апатиты;Apatity;Апатитовая
22214;Зашеек;67.4;32.55;144;RU;Зашеек;Zasheyek;Зашеек
22216;Кировск;67.58;33.58;213;RU;Кировск;Kirovsk;Апатиты
22217;Кандалакша;67.16;32.35;26;RU;Кандалакша;Kandalaksa;Кандалакша
22219;Центральный Рудник;67.5;33.8;1090;RU;Центральный Рудник;Tsentralny Rudnik;Кировск
22232;Колмъявр;67.98;36.93;239;RU;Колмъявр;Kolmyavr;Колмъявр
22235;Краснощелье;67.35;37.05;155;RU;Краснощелье;Krasnoschel;Краснощелье
22249;Каневка;67.12;39.66;149;RU;Каневка;Kanevka;Каневка
22259;Терско-Орловский;67.2;41.3;14;RU;Терско-Орловский;Tersko-Orlovsky;Терско-Орловская
22269;Мыс Конушин;67.15;43.9;13;RU;Мыс Конушин;Mys Konushin;Мыс Конушин
22271;Шойна;67.87;44.17;4;RU;Шойна;Sojna;Шойна
22282;Мыс Микулкин;67.8;46.65;5;RU;Мыс Микулкин;Mys mikulkin;Мыс Микулкин
22292;Индига;67.68;48.68;2;RU;Индига;Indiga;Индига
22301;Алакуртти;66.95;30.36;154;RU;Алакуртти;Alakurtti;Алакуртти
22302;Зареченск;66.68;31.43;43;RU;Зареченск;Zarechensk;Ням Лаке
22305;Зашеек;66.25;31.11;122;RU;Зашеек;Zasheyek;Усть-Оланга
22312;Ковда;66.68;32.88;30;RU;Ковда;Kovda;Ковда
22318;Лоухи;66.06;33;94;RU;Лоухи;Louhi;Лоухи
22324;Умба;66.68;34.34;39;RU;Умба;Umba;Умба
22333;Кашкаранцы;66.3;34.3;43;RU;Кашкаранцы;;Кашкаранцы
22334;Кашкаранцы;66.33;36.01;2;RU;Кашкаранцы;Kashkarantsy;Варзуга
22339;Чаваньга;66.1;37.75;7;RU;Чаваньга;Chavanga;Чаваньга
22349;Пялица;66.18;39.52;8;RU;Пялица;Pjalica;Пялица
22355;Сосновец;66.48;40.68;18;RU;Сосновец;Sosnovets ostrov;Сосновец Остров
22361;Моржовец;66.71;42.48;14;RU;Моржовец;Morzhovets;Моржовец Остров
22365;Абрамовский Маяк;66.4;43.26;19;RU;Абрамовский Маяк;Abramovskij majak;Абрамовский Маяк
22375;Несь;66.6;44.68;13;RU;Несь;Nes;Несь
22383;Нижняя Пеша;66.73;47.71;11;RU;Нижняя Пеша;Nizhnyaya Pesha;Нижняя Пеша
22403;Кестеньга;65.88;31.81;131;RU;Кестеньга;Kestenga;Кестеньга
22408;Калевала;65.21;31.15;118;RU;Калевала;Kalevala;Калевала
22413;Энгозеро;65.78;33.93;79;RU;Энгозеро;Engozero;Энгозеро
22418;Шомба;65.1;33.1;75;RU;Шомба;;Шомба
22422;Гридино;65.9;34.76;8;RU;Гридино;Gridino;Гридино
22429;Соловки;65.03;35.69;6;RU;Соловки;Solovki;Соловецкие Острова Кремль
22438;Жижгин;65.2;36.81;25;RU;Жижгин;Zizgin;Жижгин
22446;Зимнегорский Маяк;65.46;39.73;83;RU;Зимнегорский Маяк;Zimnegorskij majak;Зимнегорский Маяк
22452;Инцы;65.96;40.71;5;RU;Инцы;Incy;Инцы
22456;Кепино;65.38;41.88;69;RU;Кепино;Kepino;Кепино
22471;Мезень;65.87;44.2;13;RU;Мезень;Mezen;Мезень
22481;Мосеево;65.76;46.2;40;RU;Мосеево;Moseevo;Мосеево
22499;Борковская;65.23;49.58;155;RU;Борковская;Borkovskaya;Барковская
22502;Костомукша;64.7;30.83;0;RU;Костомукша;Kostomuksha;Костомукша
22511;Юшкозеро;64.75;32.11;97;RU;Юшкозеро;Juskozero;Юшкозеро
22518;Ругозеро;64.08;32.78;159;RU;Ругозеро;Rugozero;Ругозеро
22520;Кемь-Порт;64.98;34.8;7;RU;Кемь-Порт;Kem-Port;Кемь-Порт
22522;Кемь;64.95;34.65;8;RU;Кемь;Kem;Кемь Порт
22525;Разнаволок;64.56;34.91;9;RU;Разнаволок;Raznavolok;Разнаволок
22529;Колежма;64.23;35.88;4;RU;Колежма;Kolezma;Колежма
22541;Унский Маяк;64.83;38.4;2;RU;Унский Маяк;Unskij Majak;Унский Маяк
22546;Северодвинск;64.55;39.76;3;RU;Северодвинск;Severodvinsk;Северодвинск
22550;Архангельск;64.5;40.72;8;RU;Архангельск;Archangelsk;Архангельск город
22551;Мудьюг;64.85;40.28;1;RU;Мудьюг;Mudjug;Мудьюг
22552;Архангельск Талаги;65;40.7;19;RU;Архангельск Талаги;;Архангельск Талаги
22559;Холмогоры;64.22;41.65;9;RU;Холмогоры;Holmogory;Холмогоры
22563;Пинега;64.7;43.38;28;RU;Пинега;Pinega;Пинега
22573;Лешуконское;64.9;45.76;64;RU;Лешуконское;Leshukonskoe;Лешуконское
22583;Койнас;64.75;47.65;63;RU;Койнас;Kojnas;Койнас
22602;Реболы;63.83;30.81;180;RU;Реболы;Reboly;Реболы
22619;Паданы;63.26;33.41;130;RU;Паданы;Padany;Паданы
22621;Сегежа;63.76;34.28;111;RU;Сегежа;Segezha;Сегежа
22638;Калгачиха;63.32;36.71;181;RU;Калгачиха;Kolgachikha;Калгачиха
22641;Онега;63.9;38.11;11;RU;Онега;Onega;Онега
22648;Турчасово;63.11;39.23;35;RU;Турчасово;Turcasovo;Турчасово
22656;Емецк;63.47;41.79;15;RU;Емецк;Emeck;Емецк
22671;Карпогоры;64.01;44.44;63;RU;Карпогоры;Karpogory;Карпогоры
22676;Сура;63.58;45.63;62;RU;Сура;Sura;Сура
22686;Вендинга;63.45;47.9;78;RU;Вендинга;Vendinga;Вендинга
22695;Кослан;63.45;48.91;131;RU;Кослан;Koslan;Кослан
22710;Поросозеро;62.71;32.7;184;RU;Поросозеро;Porosozero;Поросозеро
22717;Суоярви;62.1;32.38;158;RU;Суоярви;Suoyarvi;Суоярви
22721;Медвежегорск;62.91;34.43;79;RU;Медвежегорск;Medvezegorsk;Медвежьегорск
22723;Данилово;62.96;35.7;139;RU;Данилово;Danilovo;Данилово
22727;Кондопога;62.16;34.3;41;RU;Кондопога;Kondopoga;Кондопога
22738;Куганаволок;62.23;36.88;147;RU;Куганаволок;Kuganavolok;Куганаволок
22749;Конево;62.13;39.3;99;RU;Конево;Konevo;Конево
22762;Двинской Березник;62.82;42.79;29;RU;Двинской Березник;Dvinskij bereznik;Двинский Березник
22768;Шенкурск;62.1;42.9;39;RU;Шенкурск;Senkursk;Шенкурск
22778;Верхняя Тойма;62.23;45.01;54;RU;Верхняя Тойма;Verhnjaja Tojma;Верхняя Тойма
22781;Окуловская;62.96;46.58;93;RU;Окуловская;Okulovskaya;Окуловская
22798;Яренск;62.17;49.1;88;RU;Яренск;Jarensk;Яренск
22802;Сортавала;61.71;30.71;17;RU;Сортавала;Sortavala;Сортавала
22805;Валаам;61.36;30.88;19;RU;Валаам;Valaam;Валаам Остров
22806;Лесогорский;61.03;28.93;45;RU;Лесогорский;Lesogorsky;Мантсинсари Остров
22807;Приозерск;61.03;30.13;12;RU;Приозерск;Priozersk;Приозёрск
22816;Пряжа;61.68;33.61;131;RU;Пряжа;Pryazha;Пряжа
22820;Петрозаводск;61.81;34.26;110;RU;Петрозаводск;Petrozavodsk;Петрозаводск
22823;Маячный;61.81;35.25;37;RU;Маячный;Mayachny;Клименицы
22824;Ладва;61.35;34.68;59;RU;Ладва;Ladva;Ладва-Ветка
22831;Пудож;61.8;36.58;44;RU;Пудож;Pudoz;Пудож
22833;Колодозеро;61.78;37.75;116;RU;Колодозеро;Kolodozero;Колодозеро
22835;Павликовская;61.28;36.35;66;RU;Павликовская;Pavlikovskaya;Миронова
22837;Вытегра;61.01;36.45;55;RU;Вытегра;Vytegra;Вытегра
22845;Каргополь;61.5;38.93;124;RU;Каргополь;Kargopol;Каргополь
22854;Няндома;61.67;40.19;232;RU;Няндома;Njandoma;Няндома
22867;Вельск;61.06;42.06;89;RU;Вельск;Velsk;Вельск
22869;Шангалы;61.13;43.35;119;RU;Шангалы;Shangaly;Шангалы
22887;Котлас;61.23;46.68;54;RU;Котлас;Kotlas;Котлас
22889;Вилегодское;61.12;47.99;68;RU;Вилегодское;Vilegodskoe;Широкий Прилук
